ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,sku_id,weekly,weekly_lower,weekly_upper
2025-02-25,10.005181544336072,6.801247113591295,13.357270243448424,10.005181544336072,10.005181544336072,0.0,0.0,0.0,0.0,0.0,0.0,10.005181544336072,P094,,,
2025-05-06,0.9612139954850075,-2.271797821924874,4.231465503190443,0.9612139954850075,0.9612139954850075,0.0,0.0,0.0,0.0,0.0,0.0,0.9612139954850075,P094,,,
2025-05-07,0.83201445907285,-2.350793461627016,4.110814453201151,0.83201445907285,0.83201445907285,0.0,0.0,0.0,0.0,0.0,0.0,0.83201445907285,P094,,,
2025-05-08,0.7028149226606925,-2.5115905324135874,4.020376192526752,0.7028149226606925,0.7028149226606925,0.0,0.0,0.0,0.0,0.0,0.0,0.7028149226606925,P094,,,
2025-05-09,0.573615386248533,-2.581043312915462,3.8315405717244073,0.573615386248533,0.573615386248533,0.0,0.0,0.0,0.0,0.0,0.0,0.573615386248533,P094,,,
2025-05-10,0.4444158498363755,-2.828674617005417,3.6238701280304007,0.4444158498363755,0.4444158498363755,0.0,0.0,0.0,0.0,0.0,0.0,0.4444158498363755,P094,,,
2025-05-11,0.31521631342421796,-2.8879257795512188,3.665225443268014,0.31521631342421796,0.31521631342421796,0.0,0.0,0.0,0.0,0.0,0.0,0.31521631342421796,P094,,,
2025-05-12,0.18601677701206043,-3.1703215225624133,3.3053166337389372,0.18601677701206043,0.18601677701206043,0.0,0.0,0.0,0.0,0.0,0.0,0.18601677701206043,P094,,,
2025-05-13,0.05681724059990101,-3.348240651031411,3.1118327493635194,0.05681724059990101,0.05681724059990101,0.0,0.0,0.0,0.0,0.0,0.0,0.05681724059990101,P094,,,
2025-05-14,-0.07238229581225653,-3.2751183157418278,3.2603507478040386,-0.07238229581225653,-0.07238229581225653,0.0,0.0,0.0,0.0,0.0,0.0,-0.07238229581225653,P094,,,
2025-05-15,-0.20158183222441406,-3.534583811403712,3.0894167546522615,-0.20158183222441406,-0.20158183222441406,0.0,0.0,0.0,0.0,0.0,0.0,-0.20158183222441406,P094,,,
2025-05-16,-0.3307813686365716,-3.613211982045695,2.8163795056483347,-0.3307813686365716,-0.3307813686365716,0.0,0.0,0.0,0.0,0.0,0.0,-0.3307813686365716,P094,,,
2025-05-17,-0.4599809050487329,-3.599310667503229,2.74763518645438,-0.4599809050519539,-0.4599809050487329,0.0,0.0,0.0,0.0,0.0,0.0,-0.4599809050487329,P094,,,
2025-05-18,-0.5891804414608904,-3.73004577489672,2.673132674407424,-0.589180441758993,-0.5891804414608904,0.0,0.0,0.0,0.0,0.0,0.0,-0.5891804414608904,P094,,,
2025-05-19,-0.7183799778730461,-3.796775957523859,2.4463286159179347,-0.7183799785244304,-0.7183799778730461,0.0,0.0,0.0,0.0,0.0,0.0,-0.7183799778730461,P094,,,
2025-05-20,-0.8475795142852036,-4.029664464889735,2.526182516883586,-0.8475795153113999,-0.8475795142220252,0.0,0.0,0.0,0.0,0.0,0.0,-0.8475795142852036,P094,,,
2025-05-21,-0.9767790506973649,-4.297120615221473,2.545762228548336,-0.9767790520791316,-0.9767790502273914,0.0,0.0,0.0,0.0,0.0,0.0,-0.9767790506973649,P094,,,
2025-05-22,-1.1059785871095225,-4.3123119785583,2.2238744984395566,-1.1059785890641574,-1.1059785864106755,0.0,0.0,0.0,0.0,0.0,0.0,-1.1059785871095225,P094,,,
2025-05-23,-1.2351781235216799,-4.3195155980333455,2.0495895925458756,-1.2351781262202854,-1.235178122190544,0.0,0.0,0.0,0.0,0.0,0.0,-1.2351781235216799,P094,,,
2025-05-24,-1.3643776599338358,-4.602832651071627,1.7183281986296337,-1.3643776634315599,-1.3643776582443232,0.0,0.0,0.0,0.0,0.0,0.0,-1.3643776599338358,P094,,,
2025-05-25,-1.4935771963459932,-4.680541236159726,1.837669744976544,-1.493577200564668,-1.4935771938184297,0.0,0.0,0.0,0.0,0.0,0.0,-1.4935771963459932,P094,,,
2025-05-26,-1.6227767327581546,-4.71382545628992,2.0486711393874435,-1.622776737562645,-1.6227767287022543,0.0,0.0,0.0,0.0,0.0,0.0,-1.6227767327581546,P094,,,
2025-05-27,-1.751976269170312,-5.166255047034652,1.4070693213460097,-1.7519762745244627,-1.7519762642699837,0.0,0.0,0.0,0.0,0.0,0.0,-1.751976269170312,P094,,,
2025-05-28,-1.8811758055824694,-5.265498460283597,1.30034020050508,-1.8811758114731028,-1.8811757994824472,0.0,0.0,0.0,0.0,0.0,0.0,-1.8811758055824694,P094,,,
2025-05-29,-2.0103753419946253,-5.258816946130631,1.1544479338038671,-2.010375348830991,-2.0103753348485673,0.0,0.0,0.0,0.0,0.0,0.0,-2.0103753419946253,P094,,,
2025-05-30,-2.1395748784067883,-5.208126681118654,1.0946061731744003,-2.1395748862244406,-2.139574870113126,0.0,0.0,0.0,0.0,0.0,0.0,-2.1395748784067883,P094,,,
2025-05-31,-2.268774414818944,-5.7856736070333605,0.9213918157693727,-2.2687744238498673,-2.2687744055245207,0.0,0.0,0.0,0.0,0.0,0.0,-2.268774414818944,P094,,,
2025-06-01,-2.3979739512310996,-5.622548891591182,0.7278887745868529,-2.3979739621275264,-2.3979739405259712,0.0,0.0,0.0,0.0,0.0,0.0,-2.3979739512310996,P094,,,
